"filename", "language", "JSON", "C#", "XML", "aspnetcorerazor", "Markdown", "Properties", "JavaScript", "CSS", "SCSS", "Less", "Ignore", "PowerShell", "comment", "blank", "total"
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\mixins\responsive-visibility.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 3, 14
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\mixins\size.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 3, 11
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\mixins\tab-focus.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 2, 10
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\mixins\table-row.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 5, 3, 29
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\mixins\text-emphasis.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 2, 10
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\mixins\text-overflow.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 2, 9
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\mixins\vendor-prefixes.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 0, 0, 32, 20, 230
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\modals.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 31, 18, 151
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\navbar.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 471, 0, 0, 85, 101, 657
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\navs.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 161, 0, 0, 44, 40, 245
